Fixed Pitch,Fixed Syllable,Randomized Pitch,Randomized Syllable
-0.9522668278051807,0.7642428300205443,0.6744897501960817,1.177849960349626
0.0,0.4208567884958497,-0.22029890504753272,0.8849181444440065
0.0,0.6744897501960817,0.7569931718537765,1.6419113162977828
0.21042839424792484,0.6411556935433823,-0.7569931718537762,0.8614545985909149
0.9522668278051803,-0.5366942668062435,0.6411556935433823,1.8137214263960955
0.6411556935433823,0.9522668278051803,0.29293181590561934,0.5366942668062435
1.3981488653971585,1.382994127100638,1.1052170494915392,1.3981488653971585
2.406154146318327,0.8614545985909149,1.5934225213485629,1.3981488653971585
0.7569931718537765,1.1725657328527135,0.22029890504753288,1.3981488653971585
0.8849181444440065,0.4208567884958497,2.406154146318327,0.4208567884958497
0.43072729929545744,0.967421566101701,0.0,-0.2104283942479247
1.1052170494915392,0.415572560998937,0.6744897501960817,0.8849181444440065
-2.7755575615628914e-16,0.5366942668062433,0.6744897501960817,0.6411556935433823
0.24376245090062398,0.21042839424792484,-0.21042839424792456,0.8849181444440065
0.24376245090062398,0.0,1.177849960349626,0.8849181444440065
0.967421566101701,1.177849960349626,0.22029890504753274,0.6411556935433823
0.5366942668062433,0.29293181590561934,1.177849960349626,1.177849960349626
1.0571746459261635,0.7085043769045564,-0.22029890504753272,1.3981488653971585
0.0,1.5934225213485629,0.0,0.967421566101701
0.6744897501960817,0.29293181590561934,-0.5366942668062435,0.22029890504753274
