Spreadsheet: A,Spreadsheet: B,Similarity_Distance
D#4_Eb4.wav,C5.wav,5.25
D#4_Eb4.wav,C#4_Db4.wav,2.6363636363636400
D#4_Eb4.wav,C#5_Db5.wav,5.142857142857140
D#4_Eb4.wav,D4.wav,1.6666666666666700
D#4_Eb4.wav,D5.wav,4.6
D#4_Eb4.wav,D#5_Eb5.wav,5.0
D#4_Eb4.wav,E4.wav,1.3333333333333300
D#4_Eb4.wav,F4.wav,2.0
D#4_Eb4.wav,F#4_Gb4.wav,3.0
D#4_Eb4.wav,G4.wav,3.1818181818181800
D#4_Eb4.wav,G#4_Ab4.wav,3.923076923076920
D#5_Eb5.wav,A4.wav,4.333333333333330
D#5_Eb5.wav,A#4_Bb4.wav,3.4166666666666700
D#5_Eb5.wav,B4.wav,2.888888888888890
D#5_Eb5.wav,C4.wav,5.125
D#5_Eb5.wav,C5.wav,3.375
D#5_Eb5.wav,C#4_Db4.wav,5.3
D#5_Eb5.wav,C#5_Db5.wav,1.625
D#5_Eb5.wav,D4.wav,5.25
D#5_Eb5.wav,D5.wav,2.2142857142857100
D#5_Eb5.wav,D#4_Eb4.wav,5.5
D#5_Eb5.wav,E4.wav,4.545454545454550
D#5_Eb5.wav,F4.wav,4.4
D#5_Eb5.wav,F#4_Gb4.wav,4.166666666666670
D#5_Eb5.wav,G4.wav,3.75
D#5_Eb5.wav,G#4_Ab4.wav,3.1818181818181800
E4.wav,A4.wav,3.125
E4.wav,A#4_Bb4.wav,3.4
E4.wav,B4.wav,4.444444444444450
E4.wav,C4.wav,3.25
E4.wav,C5.wav,3.7142857142857100
E4.wav,C#4_Db4.wav,3.5
E4.wav,C#5_Db5.wav,5.111111111111110
E4.wav,D4.wav,2.8
E4.wav,D5.wav,5.0
E4.wav,D#4_Eb4.wav,2.076923076923080
E4.wav,D#5_Eb5.wav,5.0
E4.wav,F4.wav,2.3333333333333300
E4.wav,F#4_Gb4.wav,1.8888888888888900
E4.wav,G4.wav,3.2
E4.wav,G#4_Ab4.wav,2.6
F4.wav,A4.wav,3.0
F4.wav,A#4_Bb4.wav,3.6666666666666700
F4.wav,B4.wav,3.6
F4.wav,C4.wav,3.125
F4.wav,C5.wav,4.285714285714290
F4.wav,C#4_Db4.wav,2.9
F4.wav,C#5_Db5.wav,4.75
F4.wav,D4.wav,3.4444444444444400
F4.wav,D5.wav,5.0
F4.wav,D#4_Eb4.wav,3.1
F4.wav,D#5_Eb5.wav,4.888888888888890
F4.wav,E4.wav,1.8571428571428600
F4.wav,F#4_Gb4.wav,2.5
F4.wav,G4.wav,2.7777777777777800
F4.wav,G#4_Ab4.wav,3.7
F#4_Gb4.wav,A4.wav,2.8
F#4_Gb4.wav,A#4_Bb4.wav,3.2
F#4_Gb4.wav,B4.wav,3.909090909090910
F#4_Gb4.wav,C4.wav,4.833333333333330
F#4_Gb4.wav,C5.wav,4.625
F#4_Gb4.wav,C#4_Db4.wav,4.2
F#4_Gb4.wav,C#5_Db5.wav,3.909090909090910
F#4_Gb4.wav,D4.wav,3.25
F#4_Gb4.wav,D5.wav,5.111111111111110
F#4_Gb4.wav,D#4_Eb4.wav,2.5454545454545500
F#4_Gb4.wav,D#5_Eb5.wav,5.285714285714290
F#4_Gb4.wav,E4.wav,2.4
F#4_Gb4.wav,F4.wav,1.7142857142857100
F#4_Gb4.wav,G4.wav,2.6666666666666700
F#4_Gb4.wav,G#4_Ab4.wav,2.6666666666666700
G4.wav,A4.wav,3.090909090909090
G4.wav,A#4_Bb4.wav,3.2222222222222200
