Spreadsheet: A,Spreadsheet: B,Similarity_Distance
G4.wav,Fs4_Gb4.wav,0.5
G4.wav,Gs4_Ab4.wav,1.0
G4.wav,baby_3ms.wav,5.0
G4.wav,bell_3ms.wav,5.333333333333333
G4.wav,car_engine_3ms.wav,5.083333333333333
G4.wav,cough_3ms.wav,5.4
G4.wav,frog_3ms.wav,5.0
G4.wav,laugh_3ms.wav,5.888888888888889
G4.wav,sheep_3ms.wav,4.666666666666667
G4.wav,sizzling_pan_3ms.wav,5.545454545454546
G4.wav,snore_3ms.wav,5.0
Gs4_Ab4.wav,A4.wav,0.75
Gs4_Ab4.wav,C4.wav,2.4
Gs4_Ab4.wav,Cs5_Db5.wav,1.2222222222222223
Gs4_Ab4.wav,D4.wav,1.0909090909090908
Gs4_Ab4.wav,Ds5_Eb5.wav,1.25
Gs4_Ab4.wav,E4.wav,1.3333333333333333
Gs4_Ab4.wav,Fs4_Gb4.wav,1.3333333333333333
Gs4_Ab4.wav,G4.wav,0.8181818181818182
Gs4_Ab4.wav,baby_3ms.wav,4.181818181818182
Gs4_Ab4.wav,bell_3ms.wav,4.5
Gs4_Ab4.wav,car_engine_3ms.wav,5.083333333333333
Gs4_Ab4.wav,cough_3ms.wav,5.333333333333333
Gs4_Ab4.wav,frog_3ms.wav,5.428571428571429
Gs4_Ab4.wav,laugh_3ms.wav,5.777777777777778
Gs4_Ab4.wav,sheep_3ms.wav,5.333333333333333
Gs4_Ab4.wav,sizzling_pan_3ms.wav,5.714285714285714
Gs4_Ab4.wav,snore_3ms.wav,5.2
baby_3ms.wav,A4.wav,5.5
baby_3ms.wav,C4.wav,5.214285714285714
baby_3ms.wav,Cs5_Db5.wav,5.666666666666667
baby_3ms.wav,D4.wav,4.555555555555555
baby_3ms.wav,Ds5_Eb5.wav,5.444444444444445
baby_3ms.wav,E4.wav,5.071428571428571
baby_3ms.wav,Fs4_Gb4.wav,5.181818181818182
baby_3ms.wav,G4.wav,4.909090909090909
baby_3ms.wav,Gs4_Ab4.wav,5.444444444444445
baby_3ms.wav,bell_3ms.wav,5.0
baby_3ms.wav,car_engine_3ms.wav,5.0
baby_3ms.wav,cough_3ms.wav,4.888888888888889
baby_3ms.wav,frog_3ms.wav,4.333333333333333
baby_3ms.wav,laugh_3ms.wav,4.375
baby_3ms.wav,sheep_3ms.wav,4.363636363636363
baby_3ms.wav,sizzling_pan_3ms.wav,5.0
baby_3ms.wav,snore_3ms.wav,4.444444444444445
bell_3ms.wav,A4.wav,4.5
bell_3ms.wav,C4.wav,4.625
bell_3ms.wav,Cs5_Db5.wav,5.125
bell_3ms.wav,D4.wav,5.083333333333333
bell_3ms.wav,Ds5_Eb5.wav,4.7
bell_3ms.wav,E4.wav,4.181818181818182
bell_3ms.wav,Fs4_Gb4.wav,4.714285714285714
bell_3ms.wav,G4.wav,4.875
bell_3ms.wav,Gs4_Ab4.wav,5.3
